CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
19:40:23	2962	2668	3168	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1638	23	8	0	
19:40:24	2956	2662	3162	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1612	49	8	0	
19:40:25	2956	2662	3162	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1559	102	8	0	
19:40:26	2956	2662	3162	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1708	47	9	0	
19:40:27	2956	2668	3162	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	10	1	
19:40:28	2962	2662	3162	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1594	67	10	0	
19:40:29	2956	2662	3162	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1466	195	10	0	
19:40:30	2956	2662	3162	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	266	1395	11	0	
19:40:31	2956	2662	3156	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1616	45	11	0	
19:40:32	2956	2662	3156	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1840	179	12	0	
19:40:33	2956	2662	3156	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1535	126	13	0	
